Date,Month,Day,DayOfWeek,Max Temperature,Min Temperature,Rain,Wind Speed,AQI
2024-01-01,1,1,Monday,27.0,14.7,0.0,15.0,114.58
2024-01-02,1,2,Tuesday,25.5,14.4,0.0,21.8,107.67
2024-01-03,1,3,Wednesday,25.7,16.5,0.0,16.7,122.5
2024-01-04,1,4,Thursday,25.0,15.7,0.0,19.1,104.58
2024-01-05,1,5,Friday,24.8,14.1,0.0,17.3,131.04
2024-01-06,1,6,Saturday,25.2,15.6,0.0,22.6,140.96
2024-01-07,1,7,Sunday,25.5,14.4,0.0,22.1,126.88
2024-01-08,1,8,Monday,24.6,14.1,0.0,17.9,116.88
2024-01-09,1,9,Tuesday,25.0,14.4,0.0,27.8,115.17
2024-01-10,1,10,Wednesday,25.2,12.9,0.0,18.7,106.92
