Date,Average AQI
2022-08-05,84.21
2022-08-06,85.67
2022-08-07,148.04
2022-08-08,177.25
2022-08-09,153.38
2022-08-10,162.08
2022-08-11,206.12
2022-08-12,141.0
2022-08-13,100.75
2022-08-14,105.5
2022-08-15,81.88
2022-08-16,80.46
2022-08-17,81.75
2022-08-18,70.46
2022-08-19,76.46
2022-08-20,74.88
2022-08-21,76.96
2022-08-22,77.67
2022-08-23,78.79
2022-08-24,79.33
2022-08-25,82.67
2022-08-26,84.62
2022-08-27,81.46
2022-08-28,75.5
2022-08-29,71.54
2022-08-30,77.29
2022-08-31,74.88
2022-09-01,67.21
2022-09-02,66.12
2022-09-03,67.62
2022-09-04,77.75
2022-09-05,82.17
2022-09-06,75.33
2022-09-07,77.33
2022-09-08,110.71
2022-09-09,141.33
2022-09-10,192.96
2022-09-11,177.88
2022-09-12,162.83
2022-09-13,168.46
2022-09-14,99.58
2022-09-15,73.54
2022-09-16,75.29
2022-09-17,82.0
2022-09-18,89.0
2022-09-19,85.71
2022-09-20,74.92
2022-09-21,67.67
2022-09-22,66.17
2022-09-23,66.0
2022-09-24,67.96
2022-09-25,72.12
2022-09-26,76.08
2022-09-27,73.96
2022-09-28,66.62
2022-09-29,63.92
2022-09-30,61.83
2022-10-01,59.67
2022-10-02,56.21
2022-10-03,57.79
2022-10-04,59.21
2022-10-05,61.12
2022-10-06,67.17
2022-10-07,95.75
2022-10-08,138.83
2022-10-09,189.71
2022-10-10,187.83
2022-10-11,157.29
2022-10-12,141.62
2022-10-13,95.25
2022-10-14,95.83
2022-10-15,118.58
2022-10-16,144.88
2022-10-17,157.42
2022-10-18,106.88
2022-10-19,77.54
2022-10-20,76.58
2022-10-21,124.75
2022-10-22,174.04
2022-10-23,206.08
2022-10-24,156.96
2022-10-25,75.58
2022-10-26,83.12
2022-10-27,87.58
2022-10-28,89.96
2022-10-29,95.92
2022-10-30,96.29
2022-10-31,94.25
2022-11-01,79.71
2022-11-02,85.38
2022-11-03,91.0
2022-11-04,85.58
2022-11-05,91.96
2022-11-06,106.38
2022-11-07,106.12
2022-11-08,112.04
2022-11-09,162.0
2022-11-10,127.29
2022-11-11,142.25
2022-11-12,180.71
2022-11-13,125.25
2022-11-14,79.96
2022-11-15,114.62
2022-11-16,155.33
2022-11-17,164.75
2022-11-18,145.04
2022-11-19,94.71
2022-11-20,93.71
2022-11-21,152.33
2022-11-22,165.04
2022-11-23,158.12
2022-11-24,161.33
2022-11-25,124.21
2022-11-26,127.88
2022-11-27,135.42
2022-11-28,142.12
2022-11-29,154.0
2022-11-30,154.33
2022-12-01,159.67
2022-12-02,163.33
2022-12-03,112.25
2022-12-04,158.58
2022-12-05,170.88
2022-12-06,175.79
2022-12-07,176.92
2022-12-08,173.17
2022-12-09,129.58
2022-12-10,149.54
2022-12-11,158.08
2022-12-12,145.62
2022-12-13,145.0
2022-12-14,49.46
2022-12-15,15.5
2022-12-16,73.12
2022-12-17,139.21
2022-12-18,156.54
2022-12-19,162.75
2022-12-20,152.96
2022-12-21,135.96
2022-12-22,124.46
2022-12-23,138.83
2022-12-24,122.5
2022-12-25,135.21
2022-12-26,160.0
2022-12-27,162.0
2022-12-28,168.5
2022-12-29,162.96
2022-12-30,97.33
2022-12-31,114.12
2023-01-01,129.58
2023-01-02,119.42
2023-01-03,154.29
2023-01-04,117.21
2023-01-05,119.96
2023-01-06,121.75
2023-01-07,132.08
2023-01-08,145.79
2023-01-09,180.21
2023-01-10,180.42
2023-01-11,158.54
2023-01-12,80.29
2023-01-13,82.29
2023-01-14,99.12
2023-01-15,93.83
2023-01-16,135.75
2023-01-17,158.17
2023-01-18,174.83
2023-01-19,177.58
2023-01-20,145.58
2023-01-21,147.88
2023-01-22,132.58
2023-01-23,118.04
2023-01-24,118.54
2023-01-25,113.33
2023-01-26,114.29
2023-01-27,92.17
2023-01-28,104.75
2023-01-29,133.21
2023-01-30,102.04
2023-01-31,157.67
2023-02-01,145.96
2023-02-02,157.0
2023-02-03,182.62
2023-02-04,175.5
2023-02-05,141.12
2023-02-06,126.33
2023-02-07,199.92
2023-02-08,166.25
2023-02-09,111.96
2023-02-10,87.62
2023-02-11,109.25
2023-02-12,154.12
2023-02-13,131.83
2023-02-14,160.08
2023-02-15,155.92
2023-02-16,142.21
2023-02-17,143.38
2023-02-18,186.12
2023-02-19,163.67
2023-02-20,106.12
2023-02-21,121.29
2023-02-22,110.38
2023-02-23,77.92
2023-02-24,96.71
2023-02-25,91.17
2023-02-26,86.12
2023-02-27,118.79
2023-02-28,119.0
2023-03-01,129.5
2023-03-02,165.5
2023-03-03,171.38
2023-03-04,176.38
2023-03-05,190.38
2023-03-06,203.29
2023-03-07,186.42
2023-03-08,193.12
2023-03-09,215.08
2023-03-10,219.33
2023-03-11,164.08
2023-03-12,156.42
2023-03-13,158.29
2023-03-14,114.88
2023-03-15,89.12
